Name of File,Labels
0_1.png,0
0_10.png,0
0_2.png,0
0_7.png,0
0_9.png,0
08_1.png,8
09_1.png,9
2_1.png,2
2_10.png,2
2_8.png,2
29_1.png,29
3_1.png,3
3_10.png,3
3_40.png,3
3_6.png,3
3_8.png,3
3_9.png,3
5_1.png,5
5_10.png,5
5_2.png,5
5_3.png,5
5_40.png,5
5_8.png,5
5_9.png,5
6_1.png,6
6_10.png,6
6_2.png,6
6_3.png,6
6_7.png,6
6_8.png,6
6_9.png,6
68_1.png,68
8_1.png,8
8_10.png,8
8_11.png,8
8_12.png,8
8_2.png,8
8_3.png,8
8_4.png,8
8_5.png,8
8_7.png,8
80_1.png,80
80_2.png,80
9_1.png,9
9_10.png,9
9_2.png,9
9_3.png,9
9_9.png,9
93_1.png,93
9T_7.png,9T
A_1.png,A
A_10.png,A
A_6.png,A
A_9.png,A
AB_1.png,AB
AD_1.png,AD
AD_3.png,AD
AE_1.png,AE
B_1.png,B
B_10.png,B
B_2.png,B
B_3.png,B
B_4.png,B
B_5.png,B
B_6.png,B
B_7.png,B
B_8.png,B
B_9.png,B
BOM_1.png,BOM
BW_1.png,BW
CO_1.png,CO
D_1.png,D
D_10.png,D
D_40.png,D
D_6.png,D
D_7.png,D
E_1.png,E
E_10.png,E
E_11.png,E
E_12.png,E
E_13.png,E
E_14.png,E
E_2.png,E
E_3.png,E
E_4.png,E
E_5.png,E
E_9.png,E
EO_1.png,EO
F_1.png,F
F_11.png,F
F_2.png,F
F_3.png,F
F_4.png,F
F_40.png,F
F_5.png,F
F_6.png,F
FO_1.png,FO
FX_1.png,FX
H_1.png,H
H_6.png,H
H_9.png,H
HL_1.png,HL
HU_1.png,HU
L_1.png,L
L_10.png,L
L_7.png,L
L_8.png,L
LE_1.png,LE
M_1.png,M
M_6.png,M
MF_1.png,MF
MH_1.png,MH
N_8.png,N
NYX_1.png,NYX
O_1.png,O
O_2.png,O
O_40.png,O
OF_1.png,OF
OF_2.png,OF
OO_1.png,OO
Q_1.png,Q
Q_2.png,Q
QO_1.png,QO
QZ_1.png,QZ
T_1.png,T
T_10.png,T
T_2.png,T
T_7.png,T
TF_1.png,TF
TLQ_1.png,TLQ
TM_1.png,TM
TRW_1.png,TRW
U_1.png,U
U_10.png,U
U_2.png,U
U_6.png,U
U_7.png,U
UL_1.png,UL
UL_2.png,UL
UN_1.png,UN
V_1.png,V
V_2.png,V
VA_1.png,VA
VD_1.png,VD
VD_2.png,VD
VOM_1.png,VOM
W_1.png,W
W_10.png,W
W_2.png,W
W_3.png,W
W_39.png,W
W_40.png,W
WL_1.png,WL
WYF_1.png,WYF
X_1.png,X
X_6.png,X
X_7.png,X
X_8.png,X
Y_1.png,Y
Y_10.png,Y
Y_2.png,Y
Y_3.png,Y
Y_40.png,Y
Y_9.png,Y
Z_1.png,Z
Z_10.png,Z
Z_2.png,Z
Z_3.png,Z
Z_4.png,Z
Z_9.png,Z
ZF_1.png,ZF
ZL_1.png,ZL
ZU_1.png,ZU
ZW_1.png,ZW
